model_name,kappa_setting,condition,intervened,post_onset_token_count,mean_output_entropy
qwen2.5-coder:7b,,control,False,0,0.0472523242155478
qwen2.5-coder:7b,,control,False,21,0.13822446377399725
qwen2.5-coder:7b,,control,False,51,0.3582686139390949
qwen2.5-coder:7b,,control,False,55,0.47666822707514556
qwen2.5-coder:7b,,control,False,18,0.0728129419024874
qwen2.5-coder:7b,,control,False,4,0.18457080101061182
qwen2.5-coder:7b,,control,False,0,0.5213823958451353
qwen2.5-coder:7b,,control,False,57,0.4811404872855684
qwen2.5-coder:7b,,control,False,55,0.6183683885021366
qwen2.5-coder:7b,,control,False,49,0.3589452766087292
qwen2.5-coder:7b,,control,False,58,0.4125938416700348
qwen2.5-coder:7b,,control,False,58,0.3273312709698621
qwen2.5-coder:7b,,control,False,16,0.0925128631082588
qwen2.5-coder:7b,,control,False,53,0.46195534964639035
qwen2.5-coder:7b,,control,False,55,0.592576911864884
qwen2.5-coder:7b,,control,False,55,0.6656797569792388
qwen2.5-coder:7b,,control,False,55,0.32531186631036363
qwen2.5-coder:7b,,control,False,6,0.21145517738028682
qwen2.5-coder:7b,,control,False,41,0.4623503701268637
qwen2.5-coder:7b,,control,False,37,0.16968673059616263
qwen2.5-coder:7b,,control,False,54,0.5671731022260346
qwen2.5-coder:7b,,control,False,53,0.828570184260193
qwen2.5-coder:7b,,control,False,46,0.9560462116078713
qwen2.5-coder:7b,,control,False,58,0.9757930721292454
qwen2.5-coder:7b,,control,False,54,0.7144777398349544
qwen2.5-coder:7b,,control,False,55,0.6626832387612861
qwen2.5-coder:7b,,control,False,55,0.6013776260916909
qwen2.5-coder:7b,,control,False,52,0.6911377676474761
qwen2.5-coder:7b,,control,False,54,0.7393538358232263
qwen2.5-coder:7b,,control,False,58,0.7823052888064331
qwen2.5-coder:7b,,control,False,51,0.8287162108059091
qwen2.5-coder:7b,,control,False,56,0.7162170382355166
qwen2.5-coder:7b,,control,False,50,0.9830309691816858
qwen2.5-coder:7b,,control,False,49,0.6949854468073255
qwen2.5-coder:7b,,control,False,57,0.7317490600227783
qwen2.5-coder:7b,,control,False,53,0.5795959920107104
qwen2.5-coder:7b,,control,False,46,0.6508158058321044
qwen2.5-coder:7b,,control,False,55,0.7673650248935847
qwen2.5-coder:7b,,control,False,54,0.517150595431462
qwen2.5-coder:7b,,control,False,53,0.6126291324331092
qwen2.5-coder:7b,,control,False,58,0.6386050608970576
qwen2.5-coder:7b,,control,False,46,0.4746958557976177
qwen2.5-coder:7b,,control,False,53,0.460717106361913
qwen2.5-coder:7b,,control,False,55,0.6442847593364726
qwen2.5-coder:7b,,control,False,56,0.6491370732912507
qwen2.5-coder:7b,,control,False,57,0.44071595405151187
qwen2.5-coder:7b,,control,False,50,0.7111387629957326
qwen2.5-coder:7b,,control,False,51,0.5760622373077973
qwen2.5-coder:7b,,control,False,57,0.5472500214619191
qwen2.5-coder:7b,,control,False,56,0.817296484316638
qwen2.5-coder:7b,0.9,conservative,True,2,0.04723926380292737
qwen2.5-coder:7b,0.9,conservative,True,43,0.32569933643414056
qwen2.5-coder:7b,0.9,conservative,True,55,0.23793093319273426
qwen2.5-coder:7b,0.9,conservative,True,10,0.5253296802869744
qwen2.5-coder:7b,0.9,conservative,True,18,0.07277461816241487
qwen2.5-coder:7b,0.9,conservative,True,4,0.18553330652681152
qwen2.5-coder:7b,0.9,conservative,True,6,0.10760464887158913
qwen2.5-coder:7b,0.9,conservative,True,58,0.6533864188280049
qwen2.5-coder:7b,0.9,conservative,True,12,0.24611610859373567
qwen2.5-coder:7b,0.9,conservative,True,42,0.2916497844125725
qwen2.5-coder:7b,0.9,conservative,True,15,0.40597287543258154
qwen2.5-coder:7b,0.9,conservative,True,42,0.25531552648600886
qwen2.5-coder:7b,0.9,conservative,True,16,0.09578898031698761
qwen2.5-coder:7b,0.9,conservative,True,17,0.23251553533573038
qwen2.5-coder:7b,0.9,conservative,True,5,0.47046820628074154
qwen2.5-coder:7b,0.9,conservative,True,51,0.508625493927025
qwen2.5-coder:7b,0.9,conservative,True,55,0.28190053067572834
qwen2.5-coder:7b,0.9,conservative,True,10,0.20290373129441086
qwen2.5-coder:7b,0.9,conservative,True,11,0.16932518800778135
qwen2.5-coder:7b,0.9,conservative,True,39,0.17646301453729066
qwen2.5-coder:7b,0.9,conservative,True,58,0.6206662836954538
qwen2.5-coder:7b,0.9,conservative,True,6,0.7373856114129523
qwen2.5-coder:7b,0.9,conservative,True,24,0.7251045009825677
qwen2.5-coder:7b,0.9,conservative,True,9,0.6181457561972171
qwen2.5-coder:7b,0.9,conservative,True,57,0.7925003972313045
qwen2.5-coder:7b,0.9,conservative,True,28,0.7796437125857776
qwen2.5-coder:7b,0.9,conservative,True,27,0.6284502662437729
qwen2.5-coder:7b,0.9,conservative,True,27,0.9008012929030402
